customer_id,zone_id,latitude,longitude
CUS-000001,BLR-STH,12.930409,77.562884
CUS-000002,BLR-CEN,12.990839,77.584453
CUS-000003,BLR-EST,12.942545,77.661652
CUS-000004,BLR-STH,12.886919,77.582265
CUS-000005,BLR-STH,12.90615,77.578073
CUS-000006,BLR-NTH,13.079715,77.610759
CUS-000007,BLR-STH,12.9096,77.617903
CUS-000008,BLR-NTH,13.029074,77.598067
CUS-000009,BLR-EST,12.970209,77.704079
CUS-000010,BLR-EST,12.960951,77.653497
CUS-000011,BLR-NTH,13.031905,77.570099
CUS-000012,BLR-STH,12.87994,77.582252
CUS-000013,BLR-STH,12.921433,77.580818
CUS-000014,BLR-EST,12.980359,77.677561
CUS-000015,BLR-NTH,13.082546,77.568893
CUS-000016,BLR-CEN,12.956222,77.584229
CUS-000017,BLR-STH,12.878229,77.603139
CUS-000018,BLR-CEN,12.962269,77.615714
CUS-000019,BLR-CEN,12.96936,77.618879
CUS-000020,BLR-CEN,12.978474,77.591773
CUS-000021,BLR-NTH,13.028858,77.596767
CUS-000022,BLR-CEN,12.99007,77.61405
CUS-000023,BLR-WST,12.963275,77.519567
CUS-000024,BLR-WST,12.949822,77.503315
CUS-000025,BLR-WST,12.957495,77.502357
CUS-000026,BLR-NTH,13.025085,77.565568
CUS-000027,BLR-NTH,13.082063,77.564471
CUS-000028,BLR-STH,12.905245,77.559352
CUS-000029,BLR-NTH,13.050667,77.582421
CUS-000030,BLR-STH,12.887809,77.615525
CUS-000031,BLR-STH,12.909768,77.563155
CUS-000032,BLR-CEN,12.946803,77.609815
CUS-000033,BLR-EST,12.972675,77.644252
CUS-000034,BLR-NTH,13.051693,77.618384
CUS-000035,BLR-WST,12.940955,77.51314
CUS-000036,BLR-NTH,13.050496,77.591352
CUS-000037,BLR-WST,12.964425,77.504424
CUS-000038,BLR-EST,12.994619,77.673322
CUS-000039,BLR-NTH,13.081483,77.610385
CUS-000040,BLR-NTH,13.03064,77.565546
CUS-000041,BLR-STH,12.896922,77.616202
CUS-000042,BLR-CEN,12.993831,77.577192
CUS-000043,BLR-WST,12.929457,77.513564
CUS-000044,BLR-NTH,13.070324,77.623685
CUS-000045,BLR-CEN,12.956163,77.601593
CUS-000046,BLR-CEN,12.954615,77.602155
CUS-000047,BLR-STH,12.923093,77.601379
CUS-000048,BLR-NTH,13.067128,77.603689
CUS-000049,BLR-EST,12.958012,77.672377
CUS-000050,BLR-STH,12.897227,77.591677
CUS-000051,BLR-NTH,13.01975,77.598806
CUS-000052,BLR-WST,12.967044,77.509414
CUS-000053,BLR-NTH,13.027844,77.590897
CUS-000054,BLR-WST,12.971034,77.522315
CUS-000055,BLR-NTH,13.073046,77.557312
CUS-000056,BLR-STH,12.908766,77.59073
CUS-000057,BLR-CEN,12.974674,77.575802
CUS-000058,BLR-EST,12.969243,77.687195
CUS-000059,BLR-STH,12.933879,77.613776
CUS-000060,BLR-EST,12.989918,77.673802
CUS-000061,BLR-EST,12.947515,77.655039
CUS-000062,BLR-STH,12.930784,77.556923
CUS-000063,BLR-CEN,12.980503,77.608392
CUS-000064,BLR-EST,12.948295,77.649274
CUS-000065,BLR-EST,12.976037,77.700495
CUS-000066,BLR-CEN,12.97126,77.616798
CUS-000067,BLR-NTH,13.025689,77.60847
CUS-000068,BLR-NTH,13.035762,77.58713
CUS-000069,BLR-CEN,12.973697,77.610604
CUS-000070,BLR-EST,12.942774,77.686612
CUS-000071,BLR-NTH,13.059115,77.556803
CUS-000072,BLR-NTH,13.038764,77.561177
CUS-000073,BLR-STH,12.901726,77.606608
CUS-000074,BLR-CEN,12.952888,77.586457
CUS-000075,BLR-EST,12.958997,77.680759
CUS-000076,BLR-EST,12.9465,77.676933
CUS-000077,BLR-NTH,13.084411,77.557139
CUS-000078,BLR-NTH,13.030516,77.593089
CUS-000079,BLR-CEN,12.975818,77.604538
CUS-000080,BLR-WST,12.933702,77.528733
CUS-000081,BLR-WST,12.98155,77.563398
CUS-000082,BLR-STH,12.881909,77.596917
CUS-000083,BLR-NTH,13.063913,77.579308
CUS-000084,BLR-WST,12.954093,77.524611
CUS-000085,BLR-CEN,12.959198,77.585205
CUS-000086,BLR-CEN,12.952599,77.573102
CUS-000087,BLR-STH,12.887577,77.567388
CUS-000088,BLR-WST,12.970396,77.519179
CUS-000089,BLR-WST,12.956687,77.520825
CUS-000090,BLR-NTH,13.054975,77.591084
CUS-000091,BLR-EST,12.949395,77.670721
CUS-000092,BLR-NTH,13.044784,77.557841
CUS-000093,BLR-STH,12.901166,77.580937
CUS-000094,BLR-EST,12.983893,77.660535
CUS-000095,BLR-EST,12.95022,77.693699
CUS-000096,BLR-STH,12.877462,77.608508
CUS-000097,BLR-WST,12.935512,77.541307
CUS-000098,BLR-STH,12.895199,77.565781
CUS-000099,BLR-CEN,12.987565,77.574303
CUS-000100,BLR-CEN,12.969027,77.61954
